Match Number,Round Number,Date,Location,Home Team,Away Team,Result
330,28,21/01/2023 12:30,Coventry Building Society Arena,Coventry City,Norwich City,2 - 4
325,28,21/01/2023 15:00,St Andrew's,Birmingham City,Preston North End,1 - 2
327,28,21/01/2023 15:00,Ashton Gate Stadium,Bristol City,Blackburn Rovers,1 - 1
329,28,21/01/2023 15:00,Cardiff City Stadium,Cardiff City,Millwall,0 - 1
331,28,21/01/2023 15:00,Loftus Road,Queens Park Rangers,Swansea City,1 - 1
333,28,21/01/2023 15:00,bet365 Stadium,Stoke City,Reading,4 - 0
335,28,21/01/2023 15:00,Vicarage Road,Watford,Rotherham United,1 - 1
336,28,21/01/2023 15:00,DW Stadium,Wigan Athletic,Luton Town,0 - 2
334,28,22/01/2023 12:00,Stadium of Light,Sunderland,Middlesbrough,2 - 0
326,28,07/02/2023 19:45,Bloomfield Road,Blackpool,Huddersfield Town,2 - 2
339,29,28/01/2023 15:00,MKM Stadium,Hull City,Queens Park Rangers,3 - 0
341,29,28/01/2023 15:00,Riverside Stadium,Middlesbrough,Watford,2 - 0
340,29,31/01/2023 19:45,Kenilworth Road,Luton Town,Cardiff City,1 - 0
337,29,21/02/2023 19:45,Ewood Park,Blackburn Rovers,Blackpool,1 - 0
342,29,21/02/2023 19:45,The Den,Millwall,Burnley,1 - 1
343,29,21/02/2023 19:45,Carrow Road,Norwich City,Birmingham City,3 - 1
346,29,21/02/2023 19:45,New York Stadium,Rotherham United,Sunderland,2 - 1
347,29,21/02/2023 19:45,Swansea.com Stadium,Swansea City,Stoke City,1 - 3
344,29,28/02/2023 19:45,Deepdale,Preston North End,Coventry City,0 - 0
338,29,07/03/2023 19:45,Kirklees Stadium,Huddersfield Town,Bristol City,0 - 0
345,29,07/03/2023 20:00,Madejski Stadium,Reading,Sheffield United,0 - 1
348,29,07/03/2023 20:00,The Hawthorns,West Bromwich Albion,Wigan Athletic,1 - 0
360,30,03/02/2023 20:00,The Hawthorns,West Bromwich Albion,Coventry City,1 - 0
355,30,04/02/2023 12:30,Carrow Road,Norwich City,Burnley,0 - 3
358,30,04/02/2023 12:30,New York Stadium,Rotherham United,Sheffield United,0 - 0
350,30,04/02/2023 15:00,Kirklees Stadium,Huddersfield Town,Queens Park Rangers,1 - 1
351,30,04/02/2023 15:00,MKM Stadium,Hull City,Cardiff City,1 - 0
352,30,04/02/2023 15:00,Kenilworth Road,Luton Town,Stoke City,1 - 0
353,30,04/02/2023 15:00,Riverside Stadium,Middlesbrough,Blackpool,3 - 0
354,30,04/02/2023 15:00,The Den,Millwall,Sunderland,1 - 1
356,30,04/02/2023 15:00,Deepdale,Preston North End,Bristol City,1 - 2
357,30,04/02/2023 15:00,Madejski Stadium,Reading,Watford,2 - 2
359,30,04/02/2023 15:00,Swansea.com Stadium,Swansea City,Birmingham City,3 - 4
349,30,06/02/2023 20:00,Ewood Park,Blackburn Rovers,Wigan Athletic,0 - 0
361,31,10/02/2023 20:00,St Andrew's,Birmingham City,West Bromwich Albion,2 - 0
362,31,11/02/2023 15:00,Bloomfield Road,Blackpool,Rotherham United,0 - 0
363,31,11/02/2023 15:00,Ashton Gate Stadium,Bristol City,Norwich City,1 - 0
364,31,11/02/2023 15:00,Turf Moor,Burnley,Preston North End,3 - 0
365,31,11/02/2023 15:00,Cardiff City Stadium,Cardiff City,Middlesbrough,1 - 3
366,31,11/02/2023 15:00,Coventry Building Society Arena,Coventry City,Luton Town,1 - 1
367,31,11/02/2023 15:00,Loftus Road,Queens Park Rangers,Millwall,1 - 2
368,31,11/02/2023 15:00,Bramall Lane,Sheffield United,Swansea City,3 - 0
369,31,11/02/2023 15:00,bet365 Stadium,Stoke City,Hull City,0 - 0
370,31,11/02/2023 15:00,Stadium of Light,Sunderland,Reading,1 - 0
371,31,11/02/2023 15:00,Vicarage Road,Watford,Blackburn Rovers,1 - 1
372,31,11/02/2023 15:00,DW Stadium,Wigan Athletic,Huddersfield Town,1 - 0
373,32,14/02/2023 19:45,St Andrew's,Birmingham City,Cardiff City,0 - 2
375,32,14/02/2023 19:45,Coventry Building Society Arena,Coventry City,Millwall,1 - 0
376,32,14/02/2023 19:45,Carrow Road,Norwich City,Hull City,3 - 1
377,32,14/02/2023 19:45,Loftus Road,Queens Park Rangers,Sunderland,0 - 3
374,32,14/02/2023 20:00,Turf Moor,Burnley,Watford,1 - 1
378,32,14/02/2023 20:00,Madejski Stadium,Reading,Rotherham United,2 - 1
379,32,15/02/2023 19:45,Ashton Gate Stadium,Bristol City,Wigan Athletic,1 - 1
380,32,15/02/2023 19:45,Deepdale,Preston North End,Luton Town,1 - 1
382,32,15/02/2023 19:45,Swansea.com Stadium,Swansea City,Blackpool,2 - 1
383,32,15/02/2023 19:45,bet365 Stadium,Stoke City,Huddersfield Town,3 - 0
381,32,15/02/2023 20:00,Bramall Lane,Sheffield United,Middlesbrough,1 - 3
384,32,15/02/2023 20:00,The Hawthorns,West Bromwich Albion,Blackburn Rovers,1 - 1
387,33,17/02/2023 20:00,Cardiff City Stadium,Cardiff City,Reading,1 - 0
392,33,18/02/2023 12:30,The Den,Millwall,Sheffield United,3 - 2
385,33,18/02/2023 15:00,Ewood Park,Blackburn Rovers,Swansea City,1 - 0
386,33,18/02/2023 15:00,Bloomfield Road,Blackpool,Stoke City,1 - 0
388,33,18/02/2023 15:00,Kirklees Stadium,Huddersfield Town,Birmingham City,2 - 1
389,33,18/02/2023 15:00,MKM Stadium,Hull City,Preston North End,0 - 0
390,33,18/02/2023 15:00,Kenilworth Road,Luton Town,Burnley,0 - 1
391,33,18/02/2023 15:00,Riverside Stadium,Middlesbrough,Queens Park Rangers,3 - 1
393,33,18/02/2023 15:00,New York Stadium,Rotherham United,Coventry City,0 - 2
394,33,18/02/2023 15:00,Stadium of Light,Sunderland,Bristol City,1 - 1
396,33,18/02/2023 15:00,DW Stadium,Wigan Athletic,Norwich City,0 - 0
395,33,20/02/2023 20:00,Vicarage Road,Watford,West Bromwich Albion,3 - 2
400,34,25/02/2023 12:30,Coventry Building Society Arena,Coventry City,Sunderland,2 - 1
397,34,25/02/2023 15:00,St Andrew's,Birmingham City,Luton Town,0 - 1
398,34,25/02/2023 15:00,Ashton Gate Stadium,Bristol City,Hull City,1 - 0
399,34,25/02/2023 15:00,Turf Moor,Burnley,Huddersfield Town,4 - 0
401,34,25/02/2023 15:00,Carrow Road,Norwich City,Cardiff City,2 - 0
402,34,25/02/2023 15:00,Deepdale,Preston North End,Wigan Athletic,2 - 1
403,34,25/02/2023 15:00,Loftus Road,Queens Park Rangers,Blackburn Rovers,1 - 3
404,34,25/02/2023 15:00,Madejski Stadium,Reading,Blackpool,3 - 1
405,34,25/02/2023 15:00,Bramall Lane,Sheffield United,Watford,1 - 0
406,34,25/02/2023 15:00,bet365 Stadium,Stoke City,Millwall,0 - 1
408,34,25/02/2023 15:00,The Hawthorns,West Bromwich Albion,Middlesbrough,2 - 0
407,34,27/02/2023 20:00,Swansea.com Stadium,Swansea City,Rotherham United,1 - 1
413,35,03/03/2023 20:00,MKM Stadium,Hull City,West Bromwich Albion,2 - 0
409,35,04/03/2023 12:30,Ewood Park,Blackburn Rovers,Sheffield United,1 - 0
411,35,04/03/2023 12:30,Cardiff City Stadium,Cardiff City,Bristol City,2 - 0
410,35,04/03/2023 15:00,Bloomfield Road,Blackpool,Burnley,0 - 0
412,35,04/03/2023 15:00,Kirklees Stadium,Huddersfield Town,Coventry City,0 - 4
414,35,04/03/2023 15:00,Kenilworth Road,Luton Town,Swansea City,1 - 0
415,35,04/03/2023 15:00,Riverside Stadium,Middlesbrough,Reading,5 - 0
416,35,04/03/2023 15:00,The Den,Millwall,Norwich City,2 - 3
417,35,04/03/2023 15:00,New York Stadium,Rotherham United,Queens Park Rangers,3 - 1
418,35,04/03/2023 15:00,Stadium of Light,Sunderland,Stoke City,1 - 5
419,35,04/03/2023 15:00,Vicarage Road,Watford,Preston North End,0 - 0
420,35,04/03/2023 15:00,DW Stadium,Wigan Athletic,Birmingham City,1 - 1
430,36,10/03/2023 20:00,bet365 Stadium,Stoke City,Blackburn Rovers,3 - 2
422,36,11/03/2023 12:30,Ashton Gate Stadium,Bristol City,Blackpool,2 - 0
421,36,11/03/2023 15:00,St Andrew's,Birmingham City,Rotherham United,2 - 0
423,36,11/03/2023 15:00,Turf Moor,Burnley,Wigan Athletic,3 - 0
424,36,11/03/2023 15:00,Coventry Building Society Arena,Coventry City,Hull City,1 - 1
426,36,11/03/2023 15:00,Deepdale,Preston North End,Cardiff City,2 - 0
427,36,11/03/2023 15:00,Loftus Road,Queens Park Rangers,Watford,1 - 0
428,36,11/03/2023 15:00,Madejski Stadium,Reading,Millwall,0 - 1
429,36,11/03/2023 15:00,Bramall Lane,Sheffield United,Luton Town,0 - 1
431,36,11/03/2023 15:00,Swansea.com Stadium,Swansea City,Middlesbrough,1 - 3
432,36,11/03/2023 15:00,The Hawthorns,West Bromwich Albion,Huddersfield Town,1 - 0
425,36,12/03/2023 12:00,Carrow Road,Norwich City,Sunderland,0 - 1
433,37,14/03/2023 19:45,Bloomfield Road,Blackpool,Queens Park Rangers,6 - 1
435,37,14/03/2023 19:45,The Den,Millwall,Swansea City,2 - 1
436,37,14/03/2023 19:45,New York Stadium,Rotherham United,Preston North End,1 - 2
437,37,14/03/2023 19:45,Vicarage Road,Watford,Birmingham City,3 - 0
438,37,14/03/2023 19:45,DW Stadium,Wigan Athletic,Coventry City,1 - 1
434,37,14/03/2023 20:00,Riverside Stadium,Middlesbrough,Stoke City,1 - 1
439,37,15/03/2023 19:45,Ewood Park,Blackburn Rovers,Reading,2 - 1
440,37,15/03/2023 19:45,Cardiff City Stadium,Cardiff City,West Bromwich Albion,1 - 1
441,37,15/03/2023 19:45,Kirklees Stadium,Huddersfield Town,Norwich City,1 - 1
442,37,15/03/2023 19:45,MKM Stadium,Hull City,Burnley,1 - 3
443,37,15/03/2023 19:45,Kenilworth Road,Luton Town,Bristol City,1 - 0
444,37,15/03/2023 20:00,Stadium of Light,Sunderland,Sheffield United,1 - 2
446,38,18/03/2023 15:00,Bloomfield Road,Blackpool,Coventry City,1 - 4
447,38,18/03/2023 15:00,Riverside Stadium,Middlesbrough,Preston North End,4 - 0
448,38,18/03/2023 15:00,The Den,Millwall,Huddersfield Town,0 - 1
449,38,18/03/2023 15:00,Loftus Road,Queens Park Rangers,Birmingham City,0 - 1
450,38,18/03/2023 15:00,Madejski Stadium,Reading,Hull City,1 - 1
453,38,18/03/2023 15:00,bet365 Stadium,Stoke City,Norwich City,0 - 0
454,38,18/03/2023 15:00,Stadium of Light,Sunderland,Luton Town,1 - 1
456,38,18/03/2023 15:00,Vicarage Road,Watford,Wigan Athletic,1 - 1
455,38,19/03/2023 12:30,Swansea.com Stadium,Swansea City,Bristol City,2 - 0
445,38,25/04/2023 20:00,Ewood Park,Blackburn Rovers,Burnley,0 - 1
452,38,26/04/2023 20:00,Bramall Lane,Sheffield United,West Bromwich Albion,2 - 0
451,38,27/04/2023 20:00,New York Stadium,Rotherham United,Cardiff City,1 - 2
459,39,31/03/2023 20:00,Turf Moor,Burnley,Sunderland,0 - 0
464,39,01/04/2023 12:30,Kenilworth Road,Luton Town,Watford,2 - 0
466,39,01/04/2023 12:30,Deepdale,Preston North End,Blackpool,3 - 1
457,39,01/04/2023 15:00,St Andrew's,Birmingham City,Blackburn Rovers,1 - 0
458,39,01/04/2023 15:00,Ashton Gate Stadium,Bristol City,Reading,1 - 1
460,39,01/04/2023 15:00,Cardiff City Stadium,Cardiff City,Swansea City,2 - 3
461,39,01/04/2023 15:00,Coventry Building Society Arena,Coventry City,Stoke City,0 - 4
462,39,01/04/2023 15:00,Kirklees Stadium,Huddersfield Town,Middlesbrough,4 - 2
463,39,01/04/2023 15:00,MKM Stadium,Hull City,Rotherham United,0 - 0
465,39,01/04/2023 15:00,Carrow Road,Norwich City,Sheffield United,0 - 1
467,39,01/04/2023 15:00,The Hawthorns,West Bromwich Albion,Millwall,0 - 0
468,39,01/04/2023 15:00,DW Stadium,Wigan Athletic,Queens Park Rangers,1 - 0
472,40,07/04/2023 12:30,The Den,Millwall,Luton Town,0 - 0
475,40,07/04/2023 13:00,New York Stadium,Rotherham United,West Bromwich Albion,3 - 1
469,40,07/04/2023 15:00,Ewood Park,Blackburn Rovers,Norwich City,0 - 2
470,40,07/04/2023 15:00,Bloomfield Road,Blackpool,Cardiff City,1 - 3
473,40,07/04/2023 15:00,Loftus Road,Queens Park Rangers,Preston North End,0 - 2
474,40,07/04/2023 15:00,Madejski Stadium,Reading,Birmingham City,1 - 1
476,40,07/04/2023 15:00,Bramall Lane,Sheffield United,Wigan Athletic,1 - 0
477,40,07/04/2023 15:00,bet365 Stadium,Stoke City,Bristol City,1 - 2
479,40,07/04/2023 15:00,Swansea.com Stadium,Swansea City,Coventry City,0 - 0
480,40,07/04/2023 15:00,Vicarage Road,Watford,Huddersfield Town,2 - 3
478,40,07/04/2023 17:30,Stadium of Light,Sunderland,Hull City,4 - 4
471,40,07/04/2023 20:00,Riverside Stadium,Middlesbrough,Burnley,1 - 2
486,41,10/04/2023 12:30,Kirklees Stadium,Huddersfield Town,Blackburn Rovers,2 - 2
481,41,10/04/2023 15:00,St Andrew's,Birmingham City,Stoke City,0 - 0
484,41,10/04/2023 15:00,Cardiff City Stadium,Cardiff City,Sunderland,0 - 1
485,41,10/04/2023 15:00,Coventry Building Society Arena,Coventry City,Watford,2 - 2
487,41,10/04/2023 15:00,MKM Stadium,Hull City,Millwall,1 - 0
488,41,10/04/2023 15:00,Kenilworth Road,Luton Town,Blackpool,3 - 1
489,41,10/04/2023 15:00,Carrow Road,Norwich City,Rotherham United,0 - 0
490,41,10/04/2023 15:00,Deepdale,Preston North End,Reading,2 - 1
491,41,10/04/2023 15:00,The Hawthorns,West Bromwich Albion,Queens Park Rangers,2 - 2
492,41,10/04/2023 15:00,DW Stadium,Wigan Athletic,Swansea City,0 - 2
482,41,10/04/2023 17:30,Ashton Gate Stadium,Bristol City,Middlesbrough,2 - 2
483,41,10/04/2023 20:00,Turf Moor,Burnley,Sheffield United,2 - 0
495,42,14/04/2023 20:00,Riverside Stadium,Middlesbrough,Norwich City,5 - 1
500,42,15/04/2023 12:30,Bramall Lane,Sheffield United,Cardiff City,4 - 1
494,42,15/04/2023 15:00,Bloomfield Road,Blackpool,Wigan Athletic,1 - 0
496,42,15/04/2023 15:00,The Den,Millwall,Preston North End,2 - 0
497,42,15/04/2023 15:00,Loftus Road,Queens Park Rangers,Coventry City,0 - 3
498,42,15/04/2023 15:00,Madejski Stadium,Reading,Burnley,0 - 0
499,42,15/04/2023 15:00,New York Stadium,Rotherham United,Luton Town,0 - 2
501,42,15/04/2023 15:00,bet365 Stadium,Stoke City,West Bromwich Albion,1 - 2
502,42,15/04/2023 15:00,Stadium of Light,Sunderland,Birmingham City,2 - 1
503,42,15/04/2023 15:00,Swansea.com Stadium,Swansea City,Huddersfield Town,1 - 0
504,42,15/04/2023 15:00,Vicarage Road,Watford,Bristol City,2 - 0
493,42,15/04/2023 19:45,Ewood Park,Blackburn Rovers,Hull City,0 - 0
505,43,18/04/2023 19:45,Bloomfield Road,Blackpool,West Bromwich Albion,0 - 2
507,43,18/04/2023 19:45,New York Stadium,Rotherham United,Burnley,2 - 2
508,43,18/04/2023 19:45,Bramall Lane,Sheffield United,Bristol City,1 - 0
509,43,18/04/2023 19:45,Stadium of Light,Sunderland,Huddersfield Town,1 - 1
510,43,18/04/2023 19:45,bet365 Stadium,Stoke City,Wigan Athletic,0 - 1
506,43,18/04/2023 20:00,The Den,Millwall,Birmingham City,0 - 1
511,43,19/04/2023 19:45,Ewood Park,Blackburn Rovers,Coventry City,1 - 1
513,43,19/04/2023 19:45,Loftus Road,Queens Park Rangers,Norwich City,1 - 1
514,43,19/04/2023 19:45,Swansea.com Stadium,Swansea City,Preston North End,4 - 2
515,43,19/04/2023 19:45,Vicarage Road,Watford,Cardiff City,1 - 3
512,43,19/04/2023 20:00,Riverside Stadium,Middlesbrough,Hull City,3 - 1
516,43,19/04/2023 20:00,Madejski Stadium,Reading,Luton Town,1 - 1
517,44,22/04/2023 15:00,St Andrew's,Birmingham City,Blackpool,0 - 1
518,44,22/04/2023 15:00,Ashton Gate Stadium,Bristol City,Rotherham United,2 - 1
519,44,22/04/2023 15:00,Turf Moor,Burnley,Queens Park Rangers,1 - 2
520,44,22/04/2023 15:00,Cardiff City Stadium,Cardiff City,Stoke City,1 - 1
521,44,22/04/2023 15:00,Coventry Building Society Arena,Coventry City,Reading,2 - 1
523,44,22/04/2023 15:00,MKM Stadium,Hull City,Watford,1 - 0
525,44,22/04/2023 15:00,Carrow Road,Norwich City,Swansea City,0 - 3
528,44,22/04/2023 15:00,DW Stadium,Wigan Athletic,Millwall,2 - 1
526,44,22/04/2023 17:30,Deepdale,Preston North End,Blackburn Rovers,1 - 1
527,44,23/04/2023 12:00,The Hawthorns,West Bromwich Albion,Sunderland,1 - 2
524,44,24/04/2023 20:00,Kenilworth Road,Luton Town,Middlesbrough,2 - 1
522,44,04/05/2023 19:45,Kirklees Stadium,Huddersfield Town,Sheffield United,1 - 0
530,45,28/04/2023 20:00,Bloomfield Road,Blackpool,Millwall,2 - 3
531,45,29/04/2023 15:00,Ashton Gate Stadium,Bristol City,Burnley,1 - 2
533,45,29/04/2023 15:00,Coventry Building Society Arena,Coventry City,Birmingham City,2 - 0
534,45,29/04/2023 15:00,MKM Stadium,Hull City,Swansea City,1 - 1
535,45,29/04/2023 15:00,Madejski Stadium,Reading,Wigan Athletic,1 - 1
537,45,29/04/2023 15:00,Bramall Lane,Sheffield United,Preston North End,4 - 1
538,45,29/04/2023 15:00,bet365 Stadium,Stoke City,Queens Park Rangers,0 - 1
539,45,29/04/2023 15:00,Stadium of Light,Sunderland,Watford,2 - 2
540,45,29/04/2023 17:30,The Hawthorns,West Bromwich Albion,Norwich City,2 - 1
532,45,30/04/2023 12:00,Cardiff City Stadium,Cardiff City,Huddersfield Town,1 - 2
536,45,01/05/2023 13:00,New York Stadium,Rotherham United,Middlesbrough,1 - 0
529,45,01/05/2023 17:30,Ewood Park,Blackburn Rovers,Luton Town,1 - 1
541,46,08/05/2023 15:00,St Andrew's,Birmingham City,Sheffield United,1 - 2
542,46,08/05/2023 15:00,Turf Moor,Burnley,Cardiff City,3 - 0
543,46,08/05/2023 15:00,Kirklees Stadium,Huddersfield Town,Reading,2 - 0
544,46,08/05/2023 15:00,Kenilworth Road,Luton Town,Hull City,0 - 0
545,46,08/05/2023 15:00,Riverside Stadium,Middlesbrough,Coventry City,1 - 1
546,46,08/05/2023 15:00,The Den,Millwall,Blackburn Rovers,3 - 4
547,46,08/05/2023 15:00,Carrow Road,Norwich City,Blackpool,0 - 1
548,46,08/05/2023 15:00,Deepdale,Preston North End,Sunderland,0 - 3
549,46,08/05/2023 15:00,Loftus Road,Queens Park Rangers,Bristol City,0 - 2
550,46,08/05/2023 15:00,Swansea.com Stadium,Swansea City,West Bromwich Albion,3 - 2
551,46,08/05/2023 15:00,Vicarage Road,Watford,Stoke City,2 - 0
552,46,08/05/2023 15:00,DW Stadium,Wigan Athletic,Rotherham United,0 - 0
